"","simu","n_obs","mutation_rate","c","initial_trait_frequency","male_trait_first","male_trait_last","female_choice_first","female_choice_last","female_preference_last","mean_nb_meetings","nb_meetings_1","nb_matings_1","nb_females_meeting_1"
"120",120,30,0,0.7,0.00892857142857143,0.008715125443,0.008820035372,0.008738683834,0.003947379279,0,1.436560907,2.723,0.843,2.683
"121",121,0,0,0.8,0.00892857142857143,0.009196768948,0.009160434045,0.009417422645,0.018856788126,0.500546938,3.070607568,5.978,4.039,5.887
"122",122,1,0,0.8,0.00892857142857143,0.008727218061,0.0086358876,0.008413606339,0.002519108849,0.008426717502,1.288921741,2.442,0.537,2.408
"123",123,5,0,0.8,0.00892857142857143,0.009096128696,0.00910290962,0.009456174245,0.002338678307,1.6749623e-05,1.258503838,2.402,0.5,2.368
"124",124,10,0,0.8,0.00892857142857143,0.009048334378,0.009056382727,0.009023375608,0.00234081143,0,1.258016153,2.471,0.501,2.451
"125",125,15,0,0.8,0.00892857142857143,0.009002806951,0.008975173253,0.00911983998,0.002412366608,0,1.257265642,2.501,0.514,2.477
"126",126,20,0,0.8,0.00892857142857143,0.008730939789,0.008559531729,0.008059862458,0.002162383811,0,1.259389502,2.417,0.462,2.394
"127",127,25,0,0.8,0.00892857142857143,0.008887391406,0.008683374303,0.008518890519,0.002207790154,0,1.257447019,2.402,0.468,2.361
"128",128,30,0,0.8,0.00892857142857143,0.008983050076,0.008960876027,0.008535986588,0.002298392642,0,1.261625364,2.484,0.489,2.441
"129",129,0,0,0.9,0.00892857142857143,0.008833180208,0.008728914643,0.008775078059,0.036226127848,0.4998693894,5.246945667,9.527,7.707,9.41
"130",130,1,0,0.9,0.00892857142857143,0.008957815238,0.008977328934,0.008715299656,0.00170915708,0.009049322475,1.195506757,2.328,0.366,2.293
"131",131,5,0,0.9,0.00892857142857143,0.008795020063,0.008901201979,0.008749959166,0.001015251156,3.4008611e-05,1.118105135,2.062,0.217,2.04
"132",132,10,0,0.9,0.00892857142857143,0.009132262131,0.009189305422,0.008914349951,0.001115494777,0,1.11974617,2.268,0.237,2.237
"133",133,15,0,0.9,0.00892857142857143,0.008854665953,0.008697736882,0.008947669607,0.001008926989,0,1.11943526,2.081,0.215,2.054
"134",134,20,0,0.9,0.00892857142857143,0.008858934602,0.008950321852,0.008515829699,0.000980630887,0,1.119804854,2.202,0.208,2.163
"135",135,25,0,0.9,0.00892857142857143,0.008855366125,0.008895867326,0.008673273081,0.001003193495,0,1.120371705,2.184,0.213,2.164
"136",136,30,0,0.9,0.00892857142857143,0.008992881244,0.008882932374,0.008996721371,0.001098717329,0,1.11987296,2.171,0.233,2.143
