;simu;n_obs;mutation_rate;c;n_matings;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration;tradition_for_trait
262;3;7;0.05;0.5;1;62;104;0.5668203;215;215.1442;7;3;1
263;3;7;0.05;0.5;1;63;101;0.4482759;218;216.3069;7;0;0
264;3;7;0.05;0.5;1;64;103;0.5;213;215.3398;7;2;0
265;3;7;0.05;0.5;1;65;101;0.456621;224;215.9901;7;0;0
266;3;7;0.05;0.5;1;66;106;0.4439655;207;215.3396;7;5;0
267;3;7;0.05;0.5;1;67;105;0.5991736;202;215.4857;7;4;1
268;3;7;0.05;0.5;1;68;103;0.5504587;205;215.1456;7;2;1
269;3;7;0.05;0.5;1;69;108;0.4932735;190;215.3056;7;7;0
270;3;7;0.05;0.5;1;70;116;0.5391705;220;216.069;7;15;1
271;3;7;0.05;0.5;1;71;101;0.5288889;216;215.7228;7;0;1
272;3;7;0.05;0.5;1;72;101;0.5193133;199;216.198;7;0;1
273;3;7;0.05;0.5;1;73;103;0.470852;215;216.8738;7;2;0
274;3;7;0.05;0.5;1;74;101;0.4153846;230;215.3168;7;0;0
275;3;7;0.05;0.5;1;75;103;0.5545455;222;215.9612;7;2;1
276;3;7;0.05;0.5;1;76;106;0.5603448;212;214.717;7;5;1
277;3;7;0.05;0.5;1;77;101;0.507109;202;216.0297;7;0;1
278;3;7;0.05;0.5;1;78;101;0.509009;197;214.9307;7;0;1
279;3;7;0.05;0.5;1;79;101;0.5865385;211;215.1089;7;0;1
280;3;7;0.05;0.5;1;80;101;0.4857143;225;215.9505;7;0;0
281;3;7;0.05;0.5;1;81;124;0.5837104;209;215.4516;7;23;1
282;3;7;0.05;0.5;1;82;105;0.5919283;220;216.2286;7;4;1
283;3;7;0.05;0.5;1;83;168;0.5391705;220;214.5357;7;67;1
284;3;7;0.05;0.5;1;84;103;0.4433962;209;214.7476;7;2;0
285;3;7;0.05;0.5;1;85;101;0.5247525;210;216.3663;7;0;1
286;3;7;0.05;0.5;1;86;133;0.4977169;204;215.2857;7;32;0
287;3;7;0.05;0.5;1;87;102;0.5308057;226;214.7353;7;1;1
288;3;7;0.05;0.5;1;88;110;0.3777778;205;215.3091;7;9;0
289;3;7;0.05;0.5;1;89;122;0.4375;226;215.9836;7;21;0
290;3;7;0.05;0.5;1;90;102;0.5209302;215;215.0294;7;1;1
291;3;7;0.05;0.5;1;91;111;0.3106796;227;214.9189;7;10;0
292;3;7;0.05;0.5;1;92;101;0.4537037;213;215.5644;7;0;0
293;3;7;0.05;0.5;1;93;120;0.3961353;226;215.2;7;19;0
294;3;7;0.05;0.5;1;94;107;0.5151515;199;216.028;7;6;1
295;3;7;0.05;0.5;1;95;101;0.59;227;215.8515;7;0;1
296;3;7;0.05;0.5;1;96;101;0.56;210;214.6832;7;0;1
297;3;7;0.05;0.5;1;97;102;0.5155556;217;216.1765;7;1;1
298;3;7;0.05;0.5;1;98;101;0.463964;213;215.9109;7;0;0
299;3;7;0.05;0.5;1;99;103;0.3928571;213;215.1456;7;2;0
300;3;7;0.05;0.5;1;100;133;0.6160714;212;215.2782;7;32;1
301;4;7;1;0.5;2;1;103;0.5425101;208;224.4272;7;2;1
302;4;7;1;0.5;2;2;101;0.5357143;236;223.2277;7;0;1
303;4;7;1;0.5;2;3;101;0.4837209;220;223.4554;7;0;0
